episodes,overall_win_rate,landlord_win_rate,farmer_win_rate,games,checkpoint,result_json
32000,0.5823333333333334,0.639,0.554,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/32000.pkl,evaluate_results/ac_pool_from_30k_32k_vs_native_rlcard_rotate_1000.json
34000,0.582,0.645,0.5505,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/34000.pkl,evaluate_results/ac_pool_from_30k_34k_vs_native_rlcard_rotate_1000.json
36000,0.585,0.645,0.555,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/36000.pkl,evaluate_results/ac_pool_from_30k_36k_vs_native_rlcard_rotate_1000.json
38000,0.576,0.628,0.55,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/38000.pkl,evaluate_results/ac_pool_from_30k_38k_vs_native_rlcard_rotate_1000.json
40000,0.5823333333333334,0.644,0.5515,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/40000.pkl,evaluate_results/ac_pool_from_30k_40k_vs_native_rlcard_rotate_1000.json
42000,0.585,0.642,0.5565,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/42000.pkl,evaluate_results/ac_pool_from_30k_42k_vs_native_rlcard_rotate_1000.json
44000,0.5886666666666667,0.65,0.558,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/44000.pkl,evaluate_results/ac_pool_from_30k_44k_vs_native_rlcard_rotate_1000.json
46000,0.5886666666666667,0.657,0.5545,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/46000.pkl,evaluate_results/ac_pool_from_30k_46k_vs_native_rlcard_rotate_1000.json
48000,0.5846666666666667,0.654,0.55,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/48000.pkl,evaluate_results/ac_pool_from_30k_48k_vs_native_rlcard_rotate_1000.json
50000,0.5833333333333334,0.655,0.5475,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/50000.pkl,evaluate_results/ac_pool_from_30k_50k_vs_native_rlcard_rotate_1000.json
52000,0.5823333333333334,0.657,0.545,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/52000.pkl,evaluate_results/ac_pool_from_30k_52k_vs_native_rlcard_rotate_1000.json
54000,0.588,0.653,0.5555,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/54000.pkl,evaluate_results/ac_pool_from_30k_54k_vs_native_rlcard_rotate_1000.json
56000,0.5846666666666667,0.661,0.5465,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/56000.pkl,evaluate_results/ac_pool_from_30k_56k_vs_native_rlcard_rotate_1000.json
58000,0.582,0.663,0.5415,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/58000.pkl,evaluate_results/ac_pool_from_30k_58k_vs_native_rlcard_rotate_1000.json
60000,0.596,0.68,0.554,3000,actor_critic_checkpoints/actor_critic_pool/ac_pool_from_30k/60000.pkl,evaluate_results/ac_pool_from_30k_60k_vs_native_rlcard_rotate_1000.json
