episodes,overall_win_rate,landlord_win_rate,farmer_win_rate,games,checkpoint,result_json
2000,0.4716666666666667,0.426,0.4945,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/2000.pkl,evaluate_results/pg_full_30k_2k_vs_native_rlcard_rotate_1000.json
4000,0.47733333333333333,0.417,0.5075,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/4000.pkl,evaluate_results/pg_full_30k_4k_vs_native_rlcard_rotate_1000.json
6000,0.4706666666666667,0.397,0.5075,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/6000.pkl,evaluate_results/pg_full_30k_6k_vs_native_rlcard_rotate_1000.json
8000,0.4646666666666667,0.395,0.4995,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/8000.pkl,evaluate_results/pg_full_30k_8k_vs_native_rlcard_rotate_1000.json
10000,0.49233333333333335,0.442,0.5175,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/10000.pkl,evaluate_results/pg_full_30k_10k_vs_native_rlcard_rotate_1000.json
12000,0.5066666666666667,0.495,0.5125,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/12000.pkl,evaluate_results/pg_full_30k_12k_vs_native_rlcard_rotate_1000.json
14000,0.531,0.54,0.5265,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/14000.pkl,evaluate_results/pg_full_30k_14k_vs_native_rlcard_rotate_1000.json
16000,0.5333333333333333,0.574,0.513,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/16000.pkl,evaluate_results/pg_full_30k_16k_vs_native_rlcard_rotate_1000.json
18000,0.5586666666666666,0.624,0.526,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/18000.pkl,evaluate_results/pg_full_30k_18k_vs_native_rlcard_rotate_1000.json
20000,0.5693333333333334,0.627,0.5405,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/20000.pkl,evaluate_results/pg_full_30k_20k_vs_native_rlcard_rotate_1000.json
22000,0.555,0.601,0.532,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/22000.pkl,evaluate_results/pg_full_30k_22k_vs_native_rlcard_rotate_1000.json
24000,0.563,0.631,0.529,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/24000.pkl,evaluate_results/pg_full_30k_24k_vs_native_rlcard_rotate_1000.json
26000,0.57,0.646,0.532,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/26000.pkl,evaluate_results/pg_full_30k_26k_vs_native_rlcard_rotate_1000.json
28000,0.575,0.633,0.546,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/28000.pkl,evaluate_results/pg_full_30k_28k_vs_native_rlcard_rotate_1000.json
30000,0.5863333333333334,0.654,0.5525,3000,policy_gradient_checkpoints/policy_gradient/pg_full_30k/30000.pkl,evaluate_results/pg_full_30k_30k_vs_native_rlcard_rotate_1000.json
