episodes,overall_win_rate,landlord_win_rate,farmer_win_rate,games,checkpoint,result_json
32000,0.5873333333333334,0.655,0.5535,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/32000.pkl,evaluate_results/pg_pool_from_30k_32k_vs_native_rlcard_rotate_1000.json
34000,0.5793333333333334,0.641,0.5485,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/34000.pkl,evaluate_results/pg_pool_from_30k_34k_vs_native_rlcard_rotate_1000.json
36000,0.5863333333333334,0.646,0.5565,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/36000.pkl,evaluate_results/pg_pool_from_30k_36k_vs_native_rlcard_rotate_1000.json
38000,0.5816666666666667,0.644,0.5505,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/38000.pkl,evaluate_results/pg_pool_from_30k_38k_vs_native_rlcard_rotate_1000.json
40000,0.5783333333333334,0.642,0.5465,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/40000.pkl,evaluate_results/pg_pool_from_30k_40k_vs_native_rlcard_rotate_1000.json
42000,0.5873333333333334,0.659,0.5515,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/42000.pkl,evaluate_results/pg_pool_from_30k_42k_vs_native_rlcard_rotate_1000.json
44000,0.5866666666666667,0.663,0.5485,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/44000.pkl,evaluate_results/pg_pool_from_30k_44k_vs_native_rlcard_rotate_1000.json
46000,0.5923333333333334,0.664,0.5565,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/46000.pkl,evaluate_results/pg_pool_from_30k_46k_vs_native_rlcard_rotate_1000.json
48000,0.5936666666666667,0.67,0.5555,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/48000.pkl,evaluate_results/pg_pool_from_30k_48k_vs_native_rlcard_rotate_1000.json
50000,0.596,0.672,0.558,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/50000.pkl,evaluate_results/pg_pool_from_30k_50k_vs_native_rlcard_rotate_1000.json
52000,0.5983333333333334,0.677,0.559,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/52000.pkl,evaluate_results/pg_pool_from_30k_52k_vs_native_rlcard_rotate_1000.json
54000,0.595,0.691,0.547,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/54000.pkl,evaluate_results/pg_pool_from_30k_54k_vs_native_rlcard_rotate_1000.json
56000,0.598,0.686,0.554,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/56000.pkl,evaluate_results/pg_pool_from_30k_56k_vs_native_rlcard_rotate_1000.json
58000,0.6016666666666667,0.681,0.562,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/58000.pkl,evaluate_results/pg_pool_from_30k_58k_vs_native_rlcard_rotate_1000.json
60000,0.6003333333333334,0.694,0.5535,3000,policy_gradient_checkpoints/policy_gradient_pool/pg_pool_from_30k/60000.pkl,evaluate_results/pg_pool_from_30k_60k_vs_native_rlcard_rotate_1000.json
