series,episode,x_value,win_rate
baseline_50,50016,50016.0,0.5
baseline_50,1500880,1500880.0,0.5
douzero,75040,75040.0,0.477
douzero,150080,150080.0,0.471
douzero,225040,225040.0,0.507
douzero,300000,300000.0,0.532
douzero,375040,375040.0,0.509
douzero,450160,450160.0,0.519
douzero,525040,525040.0,0.52
douzero,600000,600000.0,0.519
douzero,675040,675040.0,0.546
douzero,750000,750000.0,0.561
douzero,825040,825040.0,0.56
douzero,900160,900160.0,0.588
douzero,975040,975040.0,0.569
douzero,1050000,1050000.0,0.587
douzero,1125120,1125120.0,0.595
douzero,1200000,1200000.0,0.573
douzero,1275040,1275040.0,0.58
douzero,1350080,1350080.0,0.59
douzero,1425040,1425040.0,0.601
douzero,1500000,1500000.0,0.609
douzero,1500880,1500880.0,0.594
mc_adv_buffer,50016,50016.0,0.505
mc_adv_buffer,100000,100000.0,0.522
mc_adv_buffer,150016,150016.0,0.488
mc_adv_buffer,200000,200000.0,0.516
mc_adv_buffer,250016,250016.0,0.476
mc_adv_buffer,300000,300000.0,0.452
mc_adv_buffer,350016,350016.0,0.518
mc_adv_buffer,400000,400000.0,0.519
mc_adv_buffer,450016,450016.0,0.467
mc_adv_buffer,500000,500000.0,0.526
mc_adv_buffer,550016,550016.0,0.468
mc_adv_buffer,600000,600000.0,0.465
mc_adv_buffer,650016,650016.0,0.428
mc_adv_buffer,700000,700000.0,0.444
td_buffer,50016,50016.0,0.381
td_buffer,100000,100000.0,0.398
td_buffer,150016,150016.0,0.417
td_buffer,200000,200000.0,0.415
td_buffer,250016,250016.0,0.422
td_buffer,300000,300000.0,0.339
td_buffer,350016,350016.0,0.422
td_buffer,400000,400000.0,0.384
td_buffer,450016,450016.0,0.315
td_buffer,500000,500000.0,0.329
td_buffer,550016,550016.0,0.502
td_buffer,600000,600000.0,0.383
td_buffer,650016,650016.0,0.384
td_buffer,700000,700000.0,0.364
