series,episode,x_value,win_rate
baseline_50,50016,50016.0,0.5
baseline_50,1500880,1500880.0,0.5
douzero,75040,75040.0,0.588
douzero,150080,150080.0,0.636
douzero,225040,225040.0,0.646
douzero,300000,300000.0,0.641
douzero,375040,375040.0,0.638
douzero,450160,450160.0,0.649
douzero,525040,525040.0,0.645
douzero,600000,600000.0,0.677
douzero,675040,675040.0,0.666
douzero,750000,750000.0,0.671
douzero,825040,825040.0,0.696
douzero,900160,900160.0,0.652
douzero,975040,975040.0,0.684
douzero,1050000,1050000.0,0.672
douzero,1125120,1125120.0,0.682
douzero,1200000,1200000.0,0.662
douzero,1275040,1275040.0,0.68
douzero,1350080,1350080.0,0.694
douzero,1425040,1425040.0,0.718
douzero,1500000,1500000.0,0.706
douzero,1500880,1500880.0,0.703
mc_adv_buffer,50016,50016.0,0.615
mc_adv_buffer,100000,100000.0,0.635
mc_adv_buffer,150016,150016.0,0.635
mc_adv_buffer,200000,200000.0,0.642
mc_adv_buffer,250016,250016.0,0.637
mc_adv_buffer,300000,300000.0,0.633
mc_adv_buffer,350016,350016.0,0.635
mc_adv_buffer,400000,400000.0,0.651
mc_adv_buffer,450016,450016.0,0.62
mc_adv_buffer,500000,500000.0,0.571
mc_adv_buffer,550016,550016.0,0.628
mc_adv_buffer,600000,600000.0,0.621
mc_adv_buffer,650016,650016.0,0.61
mc_adv_buffer,700000,700000.0,0.644
td_buffer,50016,50016.0,0.504
td_buffer,100000,100000.0,0.49
td_buffer,150016,150016.0,0.568
td_buffer,200000,200000.0,0.549
td_buffer,250016,250016.0,0.55
td_buffer,300000,300000.0,0.599
td_buffer,350016,350016.0,0.418
td_buffer,400000,400000.0,0.531
td_buffer,450016,450016.0,0.589
td_buffer,500000,500000.0,0.576
td_buffer,550016,550016.0,0.525
td_buffer,600000,600000.0,0.575
td_buffer,650016,650016.0,0.58
td_buffer,700000,700000.0,0.556
