series,episode,x_value,win_rate
baseline_50,50016,50016.0,0.5
baseline_50,1500880,1500880.0,0.5
douzero,75040,75040.0,0.477
douzero,150080,150080.0,0.471
douzero,225040,225040.0,0.507
douzero,300000,300000.0,0.532
douzero,375040,375040.0,0.509
douzero,450160,450160.0,0.519
douzero,525040,525040.0,0.52
douzero,600000,600000.0,0.519
douzero,675040,675040.0,0.546
douzero,750000,750000.0,0.561
douzero,825040,825040.0,0.56
douzero,900160,900160.0,0.588
douzero,975040,975040.0,0.569
douzero,1050000,1050000.0,0.587
douzero,1125120,1125120.0,0.595
douzero,1200000,1200000.0,0.573
douzero,1275040,1275040.0,0.58
douzero,1350080,1350080.0,0.59
douzero,1425040,1425040.0,0.601
douzero,1500000,1500000.0,0.609
douzero,1500880,1500880.0,0.594
mc_1m,50016,50016.0,0.28
mc_1m,100000,100000.0,0.263
mc_1m,150016,150016.0,0.276
mc_1m,200000,200000.0,0.286
mc_1m,250016,250016.0,0.288
mc_1m,300000,300000.0,0.283
mc_1m,350016,350016.0,0.291
mc_1m,400000,400000.0,0.311
mc_1m,450016,450016.0,0.304
mc_1m,500000,500000.0,0.298
mc_1m,550016,550016.0,0.311
mc_1m,600000,600000.0,0.299
mc_1m,650016,650016.0,0.315
mc_1m,700000,700000.0,0.296
mc_1m,750016,750016.0,0.304
mc_1m,800000,800000.0,0.294
mc_1m,850016,850016.0,0.297
mc_1m,900000,900000.0,0.298
mc_1m,950016,950016.0,0.297
mc_1m,1000000,1000000.0,0.299
td_1m,50016,50016.0,0.404
td_1m,100000,100000.0,0.371
td_1m,150016,150016.0,0.387
td_1m,200000,200000.0,0.377
td_1m,250016,250016.0,0.391
td_1m,300000,300000.0,0.393
td_1m,350016,350016.0,0.427
td_1m,400000,400000.0,0.413
td_1m,450016,450016.0,0.398
td_1m,500000,500000.0,0.463
td_1m,550016,550016.0,0.365
td_1m,600000,600000.0,0.399
td_1m,650016,650016.0,0.337
td_1m,700000,700000.0,0.402
td_1m,750016,750016.0,0.332
td_1m,800000,800000.0,0.447
td_1m,850016,850016.0,0.344
td_1m,900000,900000.0,0.353
td_1m,950016,950016.0,0.385
td_1m,1000000,1000000.0,0.358
