series,episode,x_value,win_rate
approxq,50000,50000.0,0.3
approxq,100000,100000.0,0.319
approxq,150000,150000.0,0.44
approxq,200000,200000.0,0.408
approxq,250000,250000.0,0.483
approxq,300000,300000.0,0.427
approxq,350000,350000.0,0.314
approxq,400000,400000.0,0.4
approxq,450000,450000.0,0.398
approxq,500000,500000.0,0.409
approxq,550000,550000.0,0.239
approxq,600000,600000.0,0.459
approxq,650000,650000.0,0.458
approxq,700000,700000.0,0.481
approxq,750000,750000.0,0.464
approxq,800000,800000.0,0.469
approxq,850000,850000.0,0.441
approxq,900000,900000.0,0.498
approxq,950000,950000.0,0.39
approxq,1000000,1000000.0,0.433
baseline_50,50000,50000.0,0.5
baseline_50,1500880,1500880.0,0.5
douzero,75040,75040.0,0.477
douzero,150080,150080.0,0.471
douzero,225040,225040.0,0.507
douzero,300000,300000.0,0.532
douzero,375040,375040.0,0.509
douzero,450160,450160.0,0.519
douzero,525040,525040.0,0.52
douzero,600000,600000.0,0.519
douzero,675040,675040.0,0.546
douzero,750000,750000.0,0.561
douzero,825040,825040.0,0.56
douzero,900160,900160.0,0.588
douzero,975040,975040.0,0.569
douzero,1050000,1050000.0,0.587
douzero,1125120,1125120.0,0.595
douzero,1200000,1200000.0,0.573
douzero,1275040,1275040.0,0.58
douzero,1350080,1350080.0,0.59
douzero,1425040,1425040.0,0.601
douzero,1500000,1500000.0,0.609
douzero,1500880,1500880.0,0.594
