position,feature_index,feature,impact_score,instability_score,windows,coverage_rate,first_episode,last_episode,final_weight,mean_abs_weight,weight_std,total_abs_delta_w,net_signed_delta_w,relative_jitter,direction_changes,direction_changes_per_window,sign_flips,mean_abs_delta_w,delta_w_std,mean_abs_td_x_feature,mean_signed_td_x_feature,mean_abs_contribution,final_abs_contribution,mean_signed_contribution,mean_activation_rate,mean_abs_feature,mean_abs_raw_td,mean_abs_clipped_td,performance_corr,improvement_corr,positive_improvement_signal,negative_improvement_signal
landlord,228,played_control_cards,0.38035807974437535,0.6781358668358203,20,1.0,752500,800000,-0.04864681512117386,0.04854788421653211,0.04706227848562938,1625.428006564943,-0.10413884375337187,0.999935931432624,15,0.7894736842105263,9971,0.00239797095945371,0.07497977962230355,0.2397970080323552,-1.466500969311176e-05,0.036422241490272116,0.03724444788221407,-0.027317898387875635,0.808148635391734,0.7557092025393533,0.25158201875990205,0.25158201875990205,0.02269398851543139,-0.011997224437126095,0.06892356992772877,0.09464846631466194
landlord_up,4,is_farmer,0.37210781345602595,0.6742605724982577,20,1.0,752500,800000,0.023550620302557945,0.022448828117921947,0.02823503180894932,1590.417931540559,0.21893679358744225,0.9998623400873157,11,0.5789473684210527,19117,0.002509681195676484,0.05378117400823325,0.2509681265272262,3.369746783629744e-05,0.022448828117921947,0.023550620302557945,0.004871382471174001,1.0,1.0,0.2509681265272262,0.2509681265272262,-0.08709682094823475,0.03140059837805636,0.06911762613648838,0.0939826943724648
landlord_up,2,position_landlord_up,0.37210781345602595,0.6742605724982577,20,1.0,752500,800000,0.023550620302557945,0.022448828117921947,0.02823503180894932,1590.417931540559,0.21893679358744225,0.9998623400873157,11,0.5789473684210527,19117,0.002509681195676484,0.05378117400823325,0.2509681265272262,3.369746783629744e-05,0.022448828117921947,0.023550620302557945,0.004871382471174001,1.0,1.0,0.2509681265272262,0.2509681265272262,-0.08709682094823475,0.03140059837805636,0.06911762613648838,0.0939826943724648
landlord_up,0,bias,0.37210781345602595,0.6742605724982577,20,1.0,752500,800000,0.023550620302557945,0.022448828117921947,0.02823503180894932,1590.417931540559,0.21893679358744225,0.9998623400873157,11,0.5789473684210527,19117,0.002509681195676484,0.05378117400823325,0.2509681265272262,3.369746783629744e-05,0.022448828117921947,0.023550620302557945,0.004871382471174001,1.0,1.0,0.2509681265272262,0.2509681265272262,-0.08709682094823475,0.03140059837805636,0.06911762613648838,0.0939826943724648
landlord_down,125,total_played_7,0.2405091059509275,0.6468438655325514,20,1.0,752500,800000,0.04287620261311531,0.04455026159994304,0.04860958402402779,987.5431144767036,0.1534627308688417,0.9998446014876524,16,0.8421052631578947,7435,0.0015273143666578106,0.09494919845313898,0.15273138861274282,2.2112112503070676e-05,0.02367188497017632,0.022140377029746874,0.010629644990141735,0.8603912653364316,0.5300926273882915,0.2525904508788694,0.2525904508788694,0.0180356373859507,-0.11060503605053788,0.04324739910759132,0.060995633534649644
landlord_up,119,played_landlord_down_20,0.06953529962358623,0.6372285329875065,20,1.0,752500,800000,-0.07280726730823517,0.09872106905095279,0.09599056016974966,246.53503618418227,0.568402035376135,0.9976944370902662,13,0.6842105263157895,868,0.00038919745615973193,0.21511355998398335,0.038918930739582365,8.37883396548248e-05,0.01223222459039266,0.009613954081786833,-0.008583227169472872,0.12594152716868096,0.12594152716868096,0.2509681265272262,0.2509681265272262,-0.27449589781362954,-0.3913800556847337,0.011170994643414029,0.01909896871560492
landlord_up,125,total_played_7,0.26155606418540994,0.6365781331173432,20,1.0,752500,800000,0.0023077125661075115,0.04135214944835752,0.05151317943466852,972.0085724095242,0.2953590810409973,0.9996961353125634,14,0.7368421052631579,7415,0.0015337037894038684,0.11068007888446081,0.15337032787889399,4.41675262790439e-05,0.02250974713360669,0.0012185167751243681,-0.0020578550224168413,0.8702774967333712,0.5427504786099664,0.2509681265272262,0.2509681265272262,0.29673613175564695,0.29523917447112974,0.04526850061252146,0.0575614591722643
landlord,125,total_played_7,0.2999317333027136,0.6365417245932801,20,1.0,752500,800000,0.025703294202685356,0.05774184872861952,0.04770292407644256,1003.1028200903237,-0.12478540609959074,0.999875600582911,18,0.9473684210526315,3844,0.001479900529775743,0.0883073888612035,0.14798995043741006,-1.6679049070459014e-05,0.029763459071595694,0.012800347705704313,0.02678555942422171,0.8137976893218124,0.5138681656645095,0.25158201875990205,0.25158201875990205,0.23817656972423243,0.5378591828934536,0.04786917337294821,0.055520641004124606
landlord_up,228,played_control_cards,0.47954455370939175,0.6321862750005122,20,1.0,752500,800000,-0.04763311892747879,0.07246785117313266,0.04678925121287062,1534.5085889951495,0.3397207600120671,0.9997786126695879,13,0.6842105263157895,5836,0.0024210620468209853,0.095772787216815,0.24210609669205835,5.115377558696912e-05,0.056779379622944756,0.03810563536725222,-0.05554812800787175,0.8436058352904803,0.7888204927622177,0.2509681265272262,0.2509681265272262,0.20869077055251897,0.5656472096729646,0.07988793196029058,0.09561694924554483
landlord,28,action_finish,0.10279295928546378,0.6316126706809849,20,1.0,752500,800000,0.8193275332450867,0.7134399026632309,0.09878173403775185,197.73859894450857,-0.5813803986245745,0.9970598537578002,13,0.6842105263157895,0,0.0002917029244404539,0.21810771473554647,0.029163651056059003,-7.500848495889293e-05,0.03282597683517489,0.035535921608723445,0.03282597683517489,0.046066608513916536,0.046066608513916536,0.25158201875990205,0.25158201875990205,0.3355672679594744,-0.007331275564585303,0.01488966801993423,0.02062007412760137
