index,feature,category
0,bias,position_identity
1,position_landlord,position_identity
2,position_landlord_up,position_identity
3,position_landlord_down,position_identity
4,is_farmer,position_identity
5,my_cards_left,cards_left
6,landlord_cards_left,cards_left
7,landlord_up_cards_left,cards_left
8,landlord_down_cards_left,cards_left
9,teammate_cards_left,cards_left
10,min_enemy_cards_left,cards_left
11,max_enemy_cards_left,cards_left
12,leading_round,last_move_context
13,last_player_self,last_move_context
14,last_player_teammate,last_move_context
15,last_player_enemy,last_move_context
16,bomb_num,control_bomb
17,hand_singles,hand_structure
18,hand_pairs,hand_structure
19,hand_triples,hand_structure
20,hand_bombs,hand_structure
21,hand_control,hand_structure
22,hand_badness,hand_structure
23,action_cards,action_context
24,action_is_pass,action_context
25,action_is_nonpass,action_context
26,action_is_bomb,action_context
27,action_is_king_bomb,action_context
28,action_finish,action_context
29,next_cards_left,cards_left
30,next_le_two,other_compact_base
31,action_min_rank,action_context
32,action_max_rank,action_context
33,action_avg_rank,action_context
34,action_type_0,action_context
35,action_type_1,action_context
36,action_type_2,action_context
37,action_type_3,old_rank_action_counts
38,action_type_4,old_rank_action_counts
39,action_type_5,old_rank_action_counts
40,action_type_6,old_rank_action_counts
41,action_type_7,old_rank_action_counts
42,action_type_8,old_rank_action_counts
43,action_type_9,old_rank_action_counts
44,action_type_10,old_rank_action_counts
45,action_type_11,old_rank_action_counts
46,action_type_12,old_rank_action_counts
47,badness_delta,other_compact_base
48,singles_delta,other_compact_base
49,pairs_delta,other_compact_base
50,triples_delta,other_compact_base
51,bombs_delta,control_bomb
52,control_delta,control_bomb
53,teammate_danger,other_compact_base
54,teammate_danger_pass,other_compact_base
55,teammate_danger_block,other_compact_base
56,enemy_danger,other_compact_base
57,enemy_danger_press,other_compact_base
58,enemy_danger_pass,other_compact_base
59,bomb_not_near_finish,control_bomb
60,bomb_near_finish,control_bomb
61,unseen_group_low_3_to_7,new_grouped_rank_summary
62,unseen_group_mid_8_to_k,new_grouped_rank_summary
63,unseen_group_ace_2,new_grouped_rank_summary
64,unseen_group_joker,new_grouped_rank_summary
65,unseen_group_control_a_2_joker,new_grouped_rank_summary
66,played_group_low_3_to_7,new_grouped_rank_summary
67,played_group_mid_8_to_k,new_grouped_rank_summary
68,played_group_ace_2,new_grouped_rank_summary
69,played_group_joker,new_grouped_rank_summary
70,played_group_control_a_2_joker,new_grouped_rank_summary
71,my_group_low_3_to_7,other_compact_base
72,my_group_mid_8_to_k,other_compact_base
73,my_group_ace_2,other_compact_base
74,my_group_joker,other_compact_base
75,my_group_control_a_2_joker,control_bomb
76,action_group_low_3_to_7,old_rank_action_counts
77,action_group_mid_8_to_k,new_grouped_rank_summary
78,action_group_ace_2,new_grouped_rank_summary
79,action_group_joker,new_grouped_rank_summary
80,action_group_control_a_2_joker,new_grouped_rank_summary
81,lead_after_teammate,other_compact_base
82,lead_after_enemy,other_compact_base
83,last_move_cards,old_rank_last_move
84,last_move_is_pass,old_rank_last_move
85,last_move_is_bomb,old_rank_last_move
86,last_move_min_rank,old_rank_last_move
87,last_move_max_rank,old_rank_last_move
88,last_move_avg_rank,old_rank_last_move
89,last_move_action_same_type,old_rank_last_move
90,last_move_action_raises_rank,old_rank_last_move
91,action_over_last_rank_gap,action_context
92,action_uses_control_card,action_context
93,action_uses_2,action_context
94,action_uses_joker,action_context
95,action_uses_low_card,action_context
96,action_preserves_control,action_context
97,control_cards_after_action,control_bomb
98,control_delta_ratio,control_bomb
99,my_control_advantage_over_unseen,control_bomb
100,my_control_advantage_over_played,control_bomb
101,unseen_low_cards_ratio,rank_summary
102,unseen_mid_cards_ratio,rank_summary
103,unseen_high_cards_ratio,rank_summary
104,unseen_jokers_ratio,rank_summary
105,played_low_cards_ratio,rank_summary
106,played_mid_cards_ratio,rank_summary
107,played_high_cards_ratio,rank_summary
108,played_jokers_ratio,rank_summary
109,my_low_cards_ratio,other_compact_base
110,my_mid_cards_ratio,other_compact_base
111,my_high_cards_ratio,other_compact_base
112,my_jokers_ratio,other_compact_base
113,landlord_enemy_min_left_le_1,landlord_specialized
114,landlord_enemy_min_left_le_2,landlord_specialized
115,landlord_enemy_min_left_le_3,landlord_specialized
116,landlord_enemy_both_low,landlord_specialized
117,landlord_should_press_enemy,landlord_specialized
118,landlord_action_blocks_enemy_finish,landlord_specialized
119,landlord_bomb_to_finish,landlord_specialized
120,landlord_bomb_waste,landlord_specialized
121,landlord_bottom_control_count,old_rank_landlord_bottom
122,landlord_control_advantage,landlord_specialized
123,farmer_landlord_left_le_1,farmer_role_specialized
124,farmer_landlord_left_le_2,farmer_role_specialized
125,farmer_landlord_left_le_3,farmer_role_specialized
126,farmer_teammate_left_le_1,farmer_role_specialized
127,farmer_teammate_left_le_2,farmer_role_specialized
128,farmer_teammate_left_le_3,farmer_role_specialized
129,farmer_teammate_about_to_win,farmer_role_specialized
130,farmer_landlord_about_to_win,farmer_role_specialized
131,farmer_pass_to_teammate,farmer_role_specialized
132,farmer_pass_to_landlord,farmer_role_specialized
133,farmer_action_blocks_teammate,farmer_role_specialized
134,farmer_action_blocks_landlord,farmer_role_specialized
135,farmer_save_control_for_landlord,farmer_role_specialized
136,farmer_control_advantage,farmer_role_specialized
137,up_before_landlord_action_is_pass,farmer_role_specialized
138,up_before_landlord_action_is_control,farmer_role_specialized
139,up_should_block_landlord,farmer_role_specialized
140,down_after_landlord_action_is_pass,farmer_role_specialized
141,down_follow_landlord_pressure,farmer_role_specialized
142,down_should_take_lead_from_landlord,farmer_role_specialized
