index,feature,category
0,bias,position_identity
1,position_landlord,position_identity
2,position_landlord_up,position_identity
3,position_landlord_down,position_identity
4,is_farmer,position_identity
5,my_cards_left,cards_left
6,landlord_cards_left,cards_left
7,landlord_up_cards_left,cards_left
8,landlord_down_cards_left,cards_left
9,teammate_cards_left,cards_left
10,min_enemy_cards_left,cards_left
11,max_enemy_cards_left,cards_left
12,leading_round,last_move_context
13,last_player_self,last_move_context
14,last_player_teammate,last_move_context
15,last_player_enemy,last_move_context
16,bomb_num,control_bomb
17,hand_singles,hand_structure
18,hand_pairs,hand_structure
19,hand_triples,hand_structure
20,hand_bombs,hand_structure
21,hand_control,hand_structure
22,hand_badness,hand_structure
23,action_cards,action_context
24,action_is_pass,action_context
25,action_is_nonpass,action_context
26,action_is_bomb,action_context
27,action_is_king_bomb,action_context
28,action_finish,action_context
29,next_cards_left,cards_left
30,next_le_two,other_compact_base
31,action_min_rank,action_context
32,action_max_rank,action_context
33,action_avg_rank,action_context
34,action_type_0,action_context
35,action_type_1,action_context
36,action_type_2,action_context
37,action_type_3,old_rank_action_counts
38,action_type_4,old_rank_action_counts
39,action_type_5,old_rank_action_counts
40,action_type_6,old_rank_action_counts
41,action_type_7,old_rank_action_counts
42,action_type_8,old_rank_action_counts
43,action_type_9,old_rank_action_counts
44,action_type_10,old_rank_action_counts
45,action_type_11,old_rank_action_counts
46,action_type_12,old_rank_action_counts
47,badness_delta,other_compact_base
48,singles_delta,other_compact_base
49,pairs_delta,other_compact_base
50,triples_delta,other_compact_base
51,bombs_delta,control_bomb
52,control_delta,control_bomb
53,teammate_danger,other_compact_base
54,teammate_danger_pass,other_compact_base
55,teammate_danger_block,other_compact_base
56,enemy_danger,other_compact_base
57,enemy_danger_press,other_compact_base
58,enemy_danger_pass,other_compact_base
59,bomb_not_near_finish,control_bomb
60,bomb_near_finish,control_bomb
61,my_hand_3,old_rank_my_hand
62,my_hand_4,old_rank_my_hand
63,my_hand_5,old_rank_my_hand
64,my_hand_6,old_rank_my_hand
65,my_hand_7,old_rank_my_hand
66,my_hand_8,old_rank_my_hand
67,my_hand_9,old_rank_my_hand
68,my_hand_10,old_rank_my_hand
69,my_hand_11,old_rank_my_hand
70,my_hand_12,old_rank_my_hand
71,my_hand_13,old_rank_my_hand
72,my_hand_14,old_rank_my_hand
73,my_hand_17,old_rank_my_hand
74,my_hand_20,old_rank_my_hand
75,my_hand_30,old_rank_my_hand
76,played_landlord_3,old_rank_played_landlord
77,played_landlord_4,old_rank_played_landlord
78,played_landlord_5,old_rank_played_landlord
79,played_landlord_6,old_rank_played_landlord
80,played_landlord_7,old_rank_played_landlord
81,played_landlord_8,old_rank_played_landlord
82,played_landlord_9,old_rank_played_landlord
83,played_landlord_10,old_rank_played_landlord
84,played_landlord_11,old_rank_played_landlord
85,played_landlord_12,old_rank_played_landlord
86,played_landlord_13,old_rank_played_landlord
87,played_landlord_14,old_rank_played_landlord
88,played_landlord_17,old_rank_played_landlord
89,played_landlord_20,old_rank_played_landlord
90,played_landlord_30,old_rank_played_landlord
91,played_landlord_up_3,old_rank_played_landlord_up
92,played_landlord_up_4,old_rank_played_landlord_up
93,played_landlord_up_5,old_rank_played_landlord_up
94,played_landlord_up_6,old_rank_played_landlord_up
95,played_landlord_up_7,old_rank_played_landlord_up
96,played_landlord_up_8,old_rank_played_landlord_up
97,played_landlord_up_9,old_rank_played_landlord_up
98,played_landlord_up_10,old_rank_played_landlord_up
99,played_landlord_up_11,old_rank_played_landlord_up
100,played_landlord_up_12,old_rank_played_landlord_up
101,played_landlord_up_13,old_rank_played_landlord_up
102,played_landlord_up_14,old_rank_played_landlord_up
103,played_landlord_up_17,old_rank_played_landlord_up
104,played_landlord_up_20,old_rank_played_landlord_up
