full_index,feature,category
61,my_hand_3,old_rank_my_hand
62,my_hand_4,old_rank_my_hand
63,my_hand_5,old_rank_my_hand
64,my_hand_6,old_rank_my_hand
65,my_hand_7,old_rank_my_hand
66,my_hand_8,old_rank_my_hand
67,my_hand_9,old_rank_my_hand
68,my_hand_10,old_rank_my_hand
69,my_hand_11,old_rank_my_hand
70,my_hand_12,old_rank_my_hand
71,my_hand_13,old_rank_my_hand
72,my_hand_14,old_rank_my_hand
73,my_hand_17,old_rank_my_hand
74,my_hand_20,old_rank_my_hand
75,my_hand_30,old_rank_my_hand
76,played_landlord_3,old_rank_played_landlord
77,played_landlord_4,old_rank_played_landlord
78,played_landlord_5,old_rank_played_landlord
79,played_landlord_6,old_rank_played_landlord
80,played_landlord_7,old_rank_played_landlord
81,played_landlord_8,old_rank_played_landlord
82,played_landlord_9,old_rank_played_landlord
83,played_landlord_10,old_rank_played_landlord
84,played_landlord_11,old_rank_played_landlord
85,played_landlord_12,old_rank_played_landlord
86,played_landlord_13,old_rank_played_landlord
87,played_landlord_14,old_rank_played_landlord
88,played_landlord_17,old_rank_played_landlord
89,played_landlord_20,old_rank_played_landlord
90,played_landlord_30,old_rank_played_landlord
91,played_landlord_up_3,old_rank_played_landlord_up
92,played_landlord_up_4,old_rank_played_landlord_up
93,played_landlord_up_5,old_rank_played_landlord_up
94,played_landlord_up_6,old_rank_played_landlord_up
95,played_landlord_up_7,old_rank_played_landlord_up
96,played_landlord_up_8,old_rank_played_landlord_up
97,played_landlord_up_9,old_rank_played_landlord_up
98,played_landlord_up_10,old_rank_played_landlord_up
99,played_landlord_up_11,old_rank_played_landlord_up
100,played_landlord_up_12,old_rank_played_landlord_up
101,played_landlord_up_13,old_rank_played_landlord_up
102,played_landlord_up_14,old_rank_played_landlord_up
103,played_landlord_up_17,old_rank_played_landlord_up
104,played_landlord_up_20,old_rank_played_landlord_up
105,played_landlord_up_30,old_rank_played_landlord_up
106,played_landlord_down_3,old_rank_played_landlord_down
107,played_landlord_down_4,old_rank_played_landlord_down
108,played_landlord_down_5,old_rank_played_landlord_down
109,played_landlord_down_6,old_rank_played_landlord_down
110,played_landlord_down_7,old_rank_played_landlord_down
111,played_landlord_down_8,old_rank_played_landlord_down
112,played_landlord_down_9,old_rank_played_landlord_down
113,played_landlord_down_10,old_rank_played_landlord_down
114,played_landlord_down_11,old_rank_played_landlord_down
115,played_landlord_down_12,old_rank_played_landlord_down
116,played_landlord_down_13,old_rank_played_landlord_down
117,played_landlord_down_14,old_rank_played_landlord_down
118,played_landlord_down_17,old_rank_played_landlord_down
119,played_landlord_down_20,old_rank_played_landlord_down
120,played_landlord_down_30,old_rank_played_landlord_down
121,total_played_3,old_rank_total_played
122,total_played_4,old_rank_total_played
123,total_played_5,old_rank_total_played
124,total_played_6,old_rank_total_played
125,total_played_7,old_rank_total_played
126,total_played_8,old_rank_total_played
127,total_played_9,old_rank_total_played
128,total_played_10,old_rank_total_played
129,total_played_11,old_rank_total_played
130,total_played_12,old_rank_total_played
131,total_played_13,old_rank_total_played
132,total_played_14,old_rank_total_played
133,total_played_17,old_rank_total_played
134,total_played_20,old_rank_total_played
135,total_played_30,old_rank_total_played
136,unseen_3,old_rank_unseen
137,unseen_4,old_rank_unseen
138,unseen_5,old_rank_unseen
139,unseen_6,old_rank_unseen
140,unseen_7,old_rank_unseen
141,unseen_8,old_rank_unseen
142,unseen_9,old_rank_unseen
143,unseen_10,old_rank_unseen
144,unseen_11,old_rank_unseen
145,unseen_12,old_rank_unseen
146,unseen_13,old_rank_unseen
147,unseen_14,old_rank_unseen
148,unseen_17,old_rank_unseen
149,unseen_20,old_rank_unseen
150,unseen_30,old_rank_unseen
151,last_move_3,old_rank_last_move
152,last_move_4,old_rank_last_move
153,last_move_5,old_rank_last_move
154,last_move_6,old_rank_last_move
155,last_move_7,old_rank_last_move
156,last_move_8,old_rank_last_move
157,last_move_9,old_rank_last_move
158,last_move_10,old_rank_last_move
159,last_move_11,old_rank_last_move
160,last_move_12,old_rank_last_move
161,last_move_13,old_rank_last_move
162,last_move_14,old_rank_last_move
163,last_move_17,old_rank_last_move
164,last_move_20,old_rank_last_move
165,last_move_30,old_rank_last_move
166,last_two_move_0_3,old_rank_last_two_moves
167,last_two_move_0_4,old_rank_last_two_moves
168,last_two_move_0_5,old_rank_last_two_moves
169,last_two_move_0_6,old_rank_last_two_moves
170,last_two_move_0_7,old_rank_last_two_moves
171,last_two_move_0_8,old_rank_last_two_moves
172,last_two_move_0_9,old_rank_last_two_moves
173,last_two_move_0_10,old_rank_last_two_moves
174,last_two_move_0_11,old_rank_last_two_moves
175,last_two_move_0_12,old_rank_last_two_moves
176,last_two_move_0_13,old_rank_last_two_moves
177,last_two_move_0_14,old_rank_last_two_moves
178,last_two_move_0_17,old_rank_last_two_moves
179,last_two_move_0_20,old_rank_last_two_moves
180,last_two_move_0_30,old_rank_last_two_moves
181,last_two_move_1_3,old_rank_last_two_moves
182,last_two_move_1_4,old_rank_last_two_moves
183,last_two_move_1_5,old_rank_last_two_moves
184,last_two_move_1_6,old_rank_last_two_moves
185,last_two_move_1_7,old_rank_last_two_moves
186,last_two_move_1_8,old_rank_last_two_moves
187,last_two_move_1_9,old_rank_last_two_moves
188,last_two_move_1_10,old_rank_last_two_moves
189,last_two_move_1_11,old_rank_last_two_moves
190,last_two_move_1_12,old_rank_last_two_moves
191,last_two_move_1_13,old_rank_last_two_moves
192,last_two_move_1_14,old_rank_last_two_moves
193,last_two_move_1_17,old_rank_last_two_moves
194,last_two_move_1_20,old_rank_last_two_moves
195,last_two_move_1_30,old_rank_last_two_moves
196,landlord_bottom_3,old_rank_landlord_bottom
197,landlord_bottom_4,old_rank_landlord_bottom
198,landlord_bottom_5,old_rank_landlord_bottom
199,landlord_bottom_6,old_rank_landlord_bottom
200,landlord_bottom_7,old_rank_landlord_bottom
201,landlord_bottom_8,old_rank_landlord_bottom
202,landlord_bottom_9,old_rank_landlord_bottom
203,landlord_bottom_10,old_rank_landlord_bottom
204,landlord_bottom_11,old_rank_landlord_bottom
205,landlord_bottom_12,old_rank_landlord_bottom
206,landlord_bottom_13,old_rank_landlord_bottom
207,landlord_bottom_14,old_rank_landlord_bottom
208,landlord_bottom_17,old_rank_landlord_bottom
209,landlord_bottom_20,old_rank_landlord_bottom
210,landlord_bottom_30,old_rank_landlord_bottom
211,action_3,old_rank_action_counts
212,action_4,old_rank_action_counts
213,action_5,old_rank_action_counts
214,action_6,old_rank_action_counts
215,action_7,old_rank_action_counts
216,action_8,old_rank_action_counts
217,action_9,old_rank_action_counts
218,action_10,old_rank_action_counts
219,action_11,old_rank_action_counts
220,action_12,old_rank_action_counts
221,action_13,old_rank_action_counts
222,action_14,old_rank_action_counts
223,action_17,old_rank_action_counts
224,action_20,old_rank_action_counts
225,action_30,old_rank_action_counts
226,unseen_possible_bombs,rank_summary
227,unseen_control_cards,rank_summary
228,played_control_cards,rank_summary
229,played_bomb_like_ranks,rank_summary
