series,episode,x_value,win_rate
approxq,752500,752500.0,0.702
approxq,755000,755000.0,0.719
approxq,757500,757500.0,0.459
approxq,760000,760000.0,0.697
approxq,762500,762500.0,0.517
approxq,765000,765000.0,0.55
approxq,767500,767500.0,0.7
approxq,770000,770000.0,0.53
approxq,772500,772500.0,0.722
approxq,775000,775000.0,0.576
approxq,777500,777500.0,0.585
approxq,780000,780000.0,0.53
approxq,782500,782500.0,0.614
approxq,785000,785000.0,0.414
approxq,787500,787500.0,0.636
approxq,790000,790000.0,0.622
approxq,792500,792500.0,0.71
approxq,795000,795000.0,0.718
approxq,797500,797500.0,0.637
approxq,800000,800000.0,0.574
approxq_time_equal,752500,752500.0,0.71
approxq_time_equal,755000,755000.0,0.5
approxq_time_equal,757500,757500.0,0.729
approxq_time_equal,760000,760000.0,0.64
approxq_time_equal,762500,762500.0,0.732
approxq_time_equal,765000,765000.0,0.598
approxq_time_equal,767500,767500.0,0.608
approxq_time_equal,770000,770000.0,0.65
approxq_time_equal,772500,772500.0,0.45
approxq_time_equal,775000,775000.0,0.562
approxq_time_equal,777500,777500.0,0.546
approxq_time_equal,780000,780000.0,0.672
approxq_time_equal,782500,782500.0,0.508
approxq_time_equal,785000,785000.0,0.649
approxq_time_equal,787500,787500.0,0.684
approxq_time_equal,790000,790000.0,0.657
approxq_time_equal,792500,792500.0,0.487
approxq_time_equal,795000,795000.0,0.738
approxq_time_equal,797500,797500.0,0.699
approxq_time_equal,800000,800000.0,0.544
baseline_50,75040,75040.0,0.5
baseline_50,1500880,1500880.0,0.5
douzero,75040,75040.0,0.585
douzero,150080,150080.0,0.633
douzero,225040,225040.0,0.654
douzero,300000,300000.0,0.641
douzero,375040,375040.0,0.643
douzero,450160,450160.0,0.66
douzero,525040,525040.0,0.662
douzero,600000,600000.0,0.676
douzero,675040,675040.0,0.655
douzero,750000,750000.0,0.675
douzero,825040,825040.0,0.693
douzero,900160,900160.0,0.658
douzero,975040,975040.0,0.681
douzero,1050000,1050000.0,0.674
douzero,1125120,1125120.0,0.687
douzero,1200000,1200000.0,0.657
douzero,1275040,1275040.0,0.683
douzero,1350080,1350080.0,0.695
douzero,1425040,1425040.0,0.726
douzero,1500000,1500000.0,0.705
douzero,1500880,1500880.0,0.709
