selection_rank,strategy_group,strategy,method_prefix,checkpoint,selected_episode,selected_x_value,selected_win_rate,selected_csv,selected_role,opponent,test_case,metric,tested_win_rate,landlord_win_rate,farmer_win_rate,games,landlord_wins,farmer_wins,landlord_method,landlord_up_method,landlord_down_method
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,landlord,landlord_win_rate,0.666,0.666,0.334,500,333,167,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,rlcard,rlcard
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer1,farmer_win_rate,0.53,0.47,0.53,500,235,265,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,rlcard
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer2,farmer_win_rate,0.518,0.482,0.518,500,241,259,rlcard,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,two_farmer,farmer_win_rate,0.508,0.492,0.508,500,246,254,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,landlord,landlord_win_rate,0.906,0.906,0.094,500,453,47,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,random,random
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,farmer1,farmer_win_rate,0.798,0.202,0.798,500,101,399,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,random
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,farmer2,farmer_win_rate,0.906,0.094,0.906,500,47,453,random,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl
approx_doufeature_buffer_mcadv#1,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,400000.0,,0.651,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,two_farmer,farmer_win_rate,0.934,0.066,0.934,500,33,467,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,landlord,landlord_win_rate,0.648,0.648,0.352,500,324,176,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,rlcard,rlcard
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer1,farmer_win_rate,0.554,0.446,0.554,500,223,277,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,rlcard
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer2,farmer_win_rate,0.468,0.532,0.468,500,266,234,rlcard,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,two_farmer,farmer_win_rate,0.438,0.562,0.438,500,281,219,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,landlord,landlord_win_rate,0.912,0.912,0.088,500,456,44,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,random,random
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,farmer1,farmer_win_rate,0.888,0.112,0.888,500,56,444,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,random
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,farmer2,farmer_win_rate,0.888,0.112,0.888,500,56,444,random,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl
approx_doufeature_buffer_mcadv#2,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,700000.0,,0.644,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,two_farmer,farmer_win_rate,0.942,0.058,0.942,500,29,471,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,landlord,landlord_win_rate,0.632,0.632,0.368,500,316,184,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,rlcard,rlcard
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer1,farmer_win_rate,0.538,0.462,0.538,500,231,269,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,rlcard
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer2,farmer_win_rate,0.502,0.498,0.502,500,249,251,rlcard,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,rlcard,two_farmer,farmer_win_rate,0.526,0.474,0.526,500,237,263,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,landlord,landlord_win_rate,0.908,0.908,0.092,500,454,46,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,random,random
